"REF_DATE","GEO","DGUID","Generation status (4)","Age (15C)","Gender (3)","Statistics (3)","Place of birth (290)","Visible minority (15)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","1.1.7.2.1.1.2","2555435","","","","0"
"2021","Canada","2021A000011124","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","1.1.7.2.1.1.15","7064900","","","","0"
"2021","Canada","2021A000011124","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","1.1.7.3.1.1.2","2794185","","","","0"
"2021","Canada","2021A000011124","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","1.1.7.3.1.1.15","7153740","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","2.1.7.2.1.1.2","4360","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","2.1.7.2.1.1.15","125080","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","2.1.7.3.1.1.2","4420","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","2.1.7.3.1.1.15","133920","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","7.1.7.2.1.1.2","3605","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","7.1.7.2.1.1.15","33765","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","7.1.7.3.1.1.2","3770","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","7.1.7.3.1.1.15","36315","","","","0"
"2021","Nova Scotia","2021A000212","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","10.1.7.2.1.1.2","24335","","","","0"
"2021","Nova Scotia","2021A000212","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","10.1.7.2.1.1.15","220670","","","","0"
"2021","Nova Scotia","2021A000212","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","10.1.7.3.1.1.2","24345","","","","0"
"2021","Nova Scotia","2021A000212","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","10.1.7.3.1.1.15","238115","","","","0"
"2021","New Brunswick","2021A000213","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","16.1.7.2.1.1.2","11565","","","","0"
"2021","New Brunswick","2021A000213","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","16.1.7.2.1.1.15","184965","","","","0"
"2021","New Brunswick","2021A000213","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","16.1.7.3.1.1.2","11790","","","","0"
"2021","New Brunswick","2021A000213","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","16.1.7.3.1.1.15","192680","","","","0"
"2021","Quebec","2021A000224","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","26.1.7.2.1.1.2","360335","","","","0"
"2021","Quebec","2021A000224","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","26.1.7.2.1.1.15","1848420","","","","0"
"2021","Quebec","2021A000224","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","26.1.7.3.1.1.2","377030","","","","0"
"2021","Quebec","2021A000224","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","26.1.7.3.1.1.15","1848740","","","","0"
"2021","Ontario","2021A000235","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","56.1.7.2.1.1.2","1275275","","","","0"
"2021","Ontario","2021A000235","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","56.1.7.2.1.1.15","2425265","","","","0"
"2021","Ontario","2021A000235","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","56.1.7.3.1.1.2","1400615","","","","0"
"2021","Ontario","2021A000235","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","56.1.7.3.1.1.15","2483490","","","","0"
"2021","Manitoba","2021A000246","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","104.1.7.2.1.1.2","78250","","","","0"
"2021","Manitoba","2021A000246","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","104.1.7.2.1.1.15","256910","","","","0"
"2021","Manitoba","2021A000246","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","104.1.7.3.1.1.2","78970","","","","0"
"2021","Manitoba","2021A000246","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","104.1.7.3.1.1.15","261565","","","","0"
"2021","Saskatchewan","2021A000247","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","111.1.7.2.1.1.2","42455","","","","0"
"2021","Saskatchewan","2021A000247","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","111.1.7.2.1.1.15","238915","","","","0"
"2021","Saskatchewan","2021A000247","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","111.1.7.3.1.1.2","43405","","","","0"
"2021","Saskatchewan","2021A000247","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","111.1.7.3.1.1.15","241835","","","","0"
"2021","Alberta","2021A000248","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","121.1.7.2.1.1.2","306635","","","","0"
"2021","Alberta","2021A000248","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","121.1.7.2.1.1.15","835145","","","","0"
"2021","Alberta","2021A000248","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","121.1.7.3.1.1.2","333375","","","","0"
"2021","Alberta","2021A000248","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","121.1.7.3.1.1.15","823010","","","","0"
"2021","British Columbia","2021A000259","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","141.1.7.2.1.1.2","445435","","","","0"
"2021","British Columbia","2021A000259","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","141.1.7.2.1.1.15","867830","","","","0"
"2021","British Columbia","2021A000259","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","141.1.7.3.1.1.2","512775","","","","0"
"2021","British Columbia","2021A000259","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","141.1.7.3.1.1.15","865825","","","","0"
"2021","Yukon","2021A000260","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","170.1.7.2.1.1.2","1360","","","","0"
"2021","Yukon","2021A000260","Total - Generation status","25 to 64 years","Men+","Count","Total – Place of birth","Not a visible minority","","0","units","0","","170.1.7.2.1.1.15","9595","","","","0"
"2021","Yukon","2021A000260","Total - Generation status","25 to 64 years","Women+","Count","Total – Place of birth","Total visible minority population","","0","units","0","","170.1.7.3.1.1.2","1670","","","","0"
